time	V(a0)	V(a1)	V(a2)	V(a3)	V(b0)	V(b1)	V(b2)	V(b3)	V(cin)	V(cout)	V(s0)	V(s1)	V(s2)	V(s3)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.002000e-007	4.005480e-007	4.005480e-007	4.005480e-007	4.005480e-007
2.357087012208488e-012	5.892717e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.849715e-004	3.892254e-004	3.892258e-004	3.892258e-004	3.892258e-004
4.714174024416976e-012	1.178543e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.477399e-004	7.630238e-004	7.630231e-004	7.630231e-004	7.630231e-004
7.071261036625464e-012	1.767815e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.088505e-003	1.121796e-003	1.121792e-003	1.121792e-003	1.121792e-003
9.428348048833953e-012	2.357087e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.407268e-003	1.465541e-003	1.465533e-003	1.465533e-003	1.465533e-003
1.178543506104244e-011	2.946359e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.704028e-003	1.794261e-003	1.794246e-003	1.794246e-003	1.794246e-003
1.414252207325093e-011	3.535630e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.978785e-003	2.107953e-003	2.107931e-003	2.107931e-003	2.107931e-003
1.649960908545941e-011	4.124902e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.231539e-003	2.406620e-003	2.406588e-003	2.406588e-003	2.406588e-003
2.929960886084079e-011	7.324902e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.369225e-003	3.844114e-003	3.843950e-003	3.843950e-003	3.843950e-003
5.489960841160354e-011	1.372490e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.802174e-003	6.030631e-003	6.029844e-003	6.029843e-003	6.029843e-003
9.396210841160354e-011	2.349053e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.862142e-003	8.313362e-003	8.310819e-003	8.310818e-003	8.310818e-003
1.330246084116035e-010	3.325615e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	6.180252e-003	9.734189e-003	9.728963e-003	9.728962e-003	9.728962e-003
1.720871084116036e-010	4.302178e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	6.140410e-003	1.056135e-002	1.055261e-002	1.055260e-002	1.055260e-002
